catalog,group,recipe,component,x_span_mm,y_span_mm,z_span_mm
rust,preset,partisan,langet-right,13.0,320.0,5.0
rust,preset,glaive,shaft,38.64,1720.0,38.64
rust,preset,glaive,socket,68.0,250.0,66.967
rust,preset,glaive,butt-cap,42.0,40.0,42.0
rust,preset,glaive,glaive,166.158,620.0,18.0
rust,preset,glaive,langet-left,13.0,400.0,5.0
rust,preset,glaive,langet-right,13.0,400.0,5.0
rust,preset,hooked-bill,shaft,40.48,1830.0,40.48
rust,preset,hooked-bill,socket,66.0,230.0,64.997
rust,preset,hooked-bill,butt-cap,44.0,40.0,44.0
rust,preset,hooked-bill,bill,200.0,440.0,20.0
rust,preset,hooked-bill,langet-left,13.0,380.0,5.0
rust,preset,hooked-bill,langet-right,13.0,380.0,5.0
rust,preset,military-fork,shaft,38.64,1860.0,38.64
rust,preset,military-fork,socket,68.0,240.0,66.967
rust,preset,military-fork,butt-cap,42.0,40.0,42.0
rust,preset,military-fork,fork,130.0,390.0,22.0
rust,preset,military-fork,langet-left,13.0,340.0,5.0
rust,preset,military-fork,langet-right,13.0,340.0,5.0
rust,preset,landsknecht-longsword,grip,33.0,300.0,24.0
rust,preset,landsknecht-longsword,pommel,40.0,55.0,40.0
rust,preset,landsknecht-longsword,guard,314.844,51.249,15.599
rust,preset,landsknecht-longsword,blade,65.0,1020.0,10.8
rust,preset,zweihander,grip,38.0,415.0,28.0
rust,preset,zweihander,pommel,48.0,65.0,48.0
rust,preset,zweihander,guard,485.929,84.861,15.599
rust,preset,zweihander,blade,72.0,1280.0,11.7
rust,preset,zweihander,parrying-lugs,180.0,16.0,15.599
rust,preset,katzbalger,grip,34.0,165.0,25.0
rust,preset,katzbalger,pommel,55.0,45.0,14.0
rust,preset,katzbalger,guard,154.0,52.0,13.649
rust,preset,katzbalger,blade,70.0,660.0,9.9
rust,preset,grosse-messer,grip,38.0,215.0,28.0
rust,preset,grosse-messer,pommel,44.0,38.0,44.0
rust,preset,grosse-messer,guard,233.703,35.566,15.599
rust,preset,grosse-messer,blade,109.938,840.0,4.95
rust,preset,grosse-messer,nagel-stem,10.0,10.0,45.0
rust,preset,grosse-messer,nagel-button,16.0,16.0,12.0
rust,preset,dussack,grip,32.0,155.0,23.0
rust,preset,dussack,pommel,36.0,32.0,36.0
rust,preset,dussack,guard,114.435,172.926,19.499
rust,preset,dussack,blade,155.568,690.0,5.4
rust,preset,estoc,grip,31.0,260.0,23.0
rust,preset,estoc,pommel,38.0,52.0,38.0
rust,preset,estoc,guard,241.812,25.897,15.599
rust,preset,estoc,blade,34.0,1050.0,12.0
rust,preset,rondel-dagger,grip,30.0,125.0,22.0
rust,preset,rondel-dagger,pommel,64.0,16.0,64.0
rust,preset,rondel-dagger,guard,64.0,8.0,64.0
rust,preset,rondel-dagger,blade,32.0,380.0,12.0
rust,preset,reitschwert-1540,grip,31.0,170.0,22.0
rust,preset,reitschwert-1540,pommel,38.0,45.0,38.0
rust,preset,reitschwert-1540,guard,233.703,35.566,15.599
rust,preset,reitschwert-1540,blade,46.0,880.0,10.8
rust,preset,reitschwert-1540,side-ring,121.981,61.356,12.0
rust,preset,reitschwert-1540,knuckle-bow,86.103,181.342,14.0
rust,preset,reitschwert-1540,left-side-ring-boss,24.0,24.0,48.0
rust,preset,reitschwert-1540,right-side-ring-boss,24.0,24.0,48.0
rust,preset,reitschwert-1540,upper-knuckle-boss,24.0,24.0,48.0
rust,preset,reitschwert-1540,lower-knuckle-boss,24.0,24.0,48.0
rust,preset,reiter-war-hammer,shaft,33.12,580.0,33.12
rust,preset,reiter-war-hammer,socket,44.0,350.0,43.332
rust,preset,reiter-war-hammer,butt-cap,36.0,40.0,36.0
rust,preset,reiter-war-hammer,poll,68.0,46.0,50.0
rust,preset,reiter-war-hammer,beak,75.0,38.0,14.0
rust,preset,hand-axe,shaft,38.64,670.0,38.64
rust,preset,hand-axe,socket,54.0,100.0,53.18
rust,preset,hand-axe,axe,197.6,188.1,28.0
rust,preset,hand-axe,butt-cap,42.0,40.0,42.0
rust,preset,flanged-mace,grip,40.0,170.0,40.0
rust,preset,flanged-mace,shaft,26.0,580.0,26.0
rust,preset,flanged-mace,lower-collar,46.0,14.0,46.0
rust,preset,flanged-mace,upper-collar,46.0,14.0,46.0
rust,preset,flanged-mace,head-sleeve,20.0,90.0,20.0
rust,preset,flanged-mace,head,120.0,148.0,105.423
rust,preset,gothic-flanged-mace,grip,38.0,200.0,38.0
rust,preset,gothic-flanged-mace,shaft,22.0,780.0,22.0
rust,preset,gothic-flanged-mace,lower-collar,44.0,18.0,44.0
rust,preset,gothic-flanged-mace,upper-collar,44.0,18.0,44.0
rust,preset,gothic-flanged-mace,head-sleeve,22.0,150.0,22.0
rust,preset,gothic-flanged-mace,head,120.0,265.0,104.923
rust,catalog,arming_sword,grip,33.0,300.0,24.0
rust,catalog,arming_sword,pommel,40.0,55.0,40.0
rust,catalog,arming_sword,guard,314.844,51.249,15.599
rust,catalog,arming_sword,blade,54.0,820.0,9.9
rust,catalog,baselard,grip,30.0,125.0,22.0
rust,catalog,baselard,pommel,72.0,36.0,72.0
rust,catalog,baselard,guard,105.0,16.0,15.599
rust,catalog,baselard,blade,37.667,430.0,10.0
rust,catalog,bauernwehr,grip,38.0,215.0,28.0
rust,catalog,bauernwehr,pommel,44.0,38.0,44.0
rust,catalog,bauernwehr,guard,233.703,35.566,15.599
rust,catalog,bauernwehr,blade,56.298,480.0,4.05
rust,catalog,bauernwehr,nagel-stem,10.0,10.0,45.0
rust,catalog,bauernwehr,nagel-button,16.0,16.0,12.0
rust,catalog,club,shaft,40.48,620.0,40.48
rust,catalog,club,swollen-head,96.0,230.0,94.542
rust,catalog,falchion,grip,32.0,155.0,23.0
rust,catalog,falchion,pommel,36.0,32.0,36.0
rust,catalog,falchion,guard,114.435,172.926,19.499
rust,catalog,falchion,blade,135.095,720.0,5.4
rust,catalog,flanged_mace,grip,40.0,170.0,40.0
rust,catalog,flanged_mace,shaft,26.0,580.0,26.0
rust,catalog,flanged_mace,lower-collar,46.0,14.0,46.0
rust,catalog,flanged_mace,upper-collar,46.0,14.0,46.0
rust,catalog,flanged_mace,head-sleeve,20.0,90.0,20.0
rust,catalog,flanged_mace,head,120.0,148.0,105.423
rust,catalog,halberd,shaft,40.48,1820.0,40.48
rust,catalog,halberd,socket,66.0,240.0,64.997
rust,catalog,halberd,butt-cap,44.0,40.0,44.0
rust,catalog,halberd,axe,167.5,272.43,22.0
rust,catalog,halberd,beak,100.0,72.438,18.0
rust,catalog,halberd,spike,58.14,320.0,22.0
rust,catalog,halberd,langet-left,13.0,380.0,5.0
rust,catalog,halberd,langet-right,13.0,380.0,5.0
rust,catalog,hand_axe,shaft,38.64,670.0,38.64
rust,catalog,hand_axe,socket,54.0,100.0,53.18
rust,catalog,hand_axe,axe,197.6,188.1,28.0
rust,catalog,hand_axe,butt-cap,42.0,40.0,42.0
rust,catalog,hunting_spear,shaft,38.64,1720.0,38.64
rust,catalog,hunting_spear,socket,62.0,200.0,61.058
rust,catalog,hunting_spear,butt-cap,40.0,40.0,40.0
rust,catalog,hunting_spear,spike,66.667,270.0,24.0
rust,catalog,katzbalger,grip,34.0,165.0,25.0
rust,catalog,katzbalger,pommel,55.0,45.0,14.0
rust,catalog,katzbalger,guard,154.0,52.0,13.649
rust,catalog,katzbalger,blade,70.0,660.0,9.9
rust,catalog,knife,grip,30.0,125.0,22.0
rust,catalog,knife,pommel,58.0,36.0,58.0
rust,catalog,knife,guard,62.0,16.0,15.599
rust,catalog,knife,blade,30.0,210.0,2.25
rust,catalog,kriegsmesser,grip,38.0,215.0,28.0
rust,catalog,kriegsmesser,pommel,44.0,38.0,44.0
rust,catalog,kriegsmesser,guard,233.703,35.566,15.599
rust,catalog,kriegsmesser,blade,132.563,1050.0,5.85
rust,catalog,kriegsmesser,nagel-stem,10.0,10.0,45.0
rust,catalog,kriegsmesser,nagel-button,16.0,16.0,12.0
rust,catalog,longsword,grip,33.0,300.0,24.0
rust,catalog,longsword,pommel,40.0,55.0,40.0
rust,catalog,longsword,guard,314.844,51.249,15.599
rust,catalog,longsword,blade,65.0,1020.0,10.8
rust,catalog,messer,grip,38.0,215.0,28.0
rust,catalog,messer,pommel,44.0,38.0,44.0
rust,catalog,messer,guard,233.703,35.566,15.599
rust,catalog,messer,blade,87.6,720.0,4.5
rust,catalog,messer,nagel-stem,10.0,10.0,45.0
rust,catalog,messer,nagel-button,16.0,16.0,12.0
rust,catalog,military_pike,shaft,34.96,3350.0,34.96
rust,catalog,military_pike,socket,54.0,180.0,53.18
rust,catalog,military_pike,butt-cap,38.0,40.0,38.0
rust,catalog,military_pike,spike,42.157,250.0,22.0
rust,catalog,misericorde,grip,31.0,260.0,23.0
rust,catalog,misericorde,pommel,64.0,36.0,64.0
rust,catalog,misericorde,guard,78.0,16.0,15.599
rust,catalog,misericorde,blade,18.72,360.0,9.0
rust,catalog,rapier,grip,31.0,170.0,22.0
rust,catalog,rapier,pommel,38.0,45.0,38.0
rust,catalog,rapier,guard,233.703,35.566,15.599
rust,catalog,rapier,blade,46.0,880.0,10.8
rust,catalog,rapier,side-ring,121.981,61.356,12.0
rust,catalog,rapier,knuckle-bow,86.103,181.342,14.0
rust,catalog,rapier,left-side-ring-boss,24.0,24.0,48.0
rust,catalog,rapier,right-side-ring-boss,24.0,24.0,48.0
rust,catalog,rapier,upper-knuckle-boss,24.0,24.0,48.0
rust,catalog,rapier,lower-knuckle-boss,24.0,24.0,48.0
rust,catalog,rondel_dagger,grip,30.0,125.0,22.0
rust,catalog,rondel_dagger,pommel,64.0,16.0,64.0
rust,catalog,rondel_dagger,guard,64.0,8.0,64.0
rust,catalog,rondel_dagger,blade,32.0,380.0,12.0
rust,catalog,spear,shaft,36.8,1720.0,36.8
rust,catalog,spear,socket,62.0,200.0,61.058
rust,catalog,spear,butt-cap,40.0,40.0,40.0
rust,catalog,spear,spike,83.333,310.0,24.0
rust,catalog,utility_knife,grip,30.0,125.0,22.0
rust,catalog,utility_knife,pommel,52.0,36.0,52.0
rust,catalog,utility_knife,guard,48.0,16.0,15.599
rust,catalog,utility_knife,blade,25.667,135.0,1.8
rust,catalog,walking_staff,shaft,40.48,1850.0,40.48
rust,catalog,war_hammer,shaft,33.12,580.0,33.12
rust,catalog,war_hammer,socket,44.0,350.0,43.332
rust,catalog,war_hammer,butt-cap,36.0,40.0,36.0
rust,catalog,war_hammer,poll,68.0,46.0,50.0
rust,catalog,war_hammer,beak,75.0,38.0,14.0
rust,catalog,zweihander,grip,38.0,415.0,28.0
rust,catalog,zweihander,pommel,48.0,65.0,48.0
rust,catalog,zweihander,guard,485.929,84.861,15.599
rust,catalog,zweihander,blade,72.0,1280.0,11.7
rust,catalog,zweihander,parrying-lugs,180.0,16.0,15.599
browser,browser,german-self-bow-1544,bow,96.599,914.385,36.0
browser,browser,german-self-bow-1544,bow,96.561,876.2,36.0
browser,browser,german-self-bow-1544,bow,29.0,148.0,35.0
browser,browser,german-self-bow-1544,bow,15.511,14.449,14.774
browser,browser,german-self-bow-1544,bow,15.479,14.097,14.774
browser,browser,german-self-bow-1544,bow,154.912,971.805,2.0
browser,browser,german-self-bow-1544,bow,154.928,933.346,2.0
browser,browser,german-self-bow-1544,bow,22.541,6.961,24.774
browser,browser,german-self-bow-1544,bow,22.491,7.168,24.774
browser,browser,german-self-bow-1544,bow,2.6,12.0,2.6
browser,browser,composite-recurve-bow-1544,bow,247.035,661.196,44.0
browser,browser,composite-recurve-bow-1544,bow,238.424,656.072,44.0
browser,browser,composite-recurve-bow-1544,bow,243.379,655.595,44.0
browser,browser,composite-recurve-bow-1544,bow,246.977,632.973,44.0
browser,browser,composite-recurve-bow-1544,bow,238.409,627.719,44.0
browser,browser,composite-recurve-bow-1544,bow,243.368,627.23,44.0
browser,browser,composite-recurve-bow-1544,bow,29.0,148.0,35.0
browser,browser,composite-recurve-bow-1544,bow,16.647,16.472,21.859
browser,browser,composite-recurve-bow-1544,bow,16.464,16.271,21.859
browser,browser,composite-recurve-bow-1544,bow,87.971,713.761,2.0
browser,browser,composite-recurve-bow-1544,bow,88.073,685.284,2.0
browser,browser,composite-recurve-bow-1544,bow,14.321,16.36,31.853
browser,browser,composite-recurve-bow-1544,bow,14.008,16.629,31.85
browser,browser,composite-recurve-bow-1544,bow,2.6,12.0,2.6
browser,browser,flight-arrow-1544,arrow,9.0,760.0,9.0
browser,browser,flight-arrow-1544,arrow,22.0,50.0,4.0
browser,browser,flight-arrow-1544,arrow,9.0,18.0,7.65
browser,browser,flight-arrow-1544,arrow,18.0,130.0,1.62
browser,browser,flight-arrow-1544,arrow,10.403,130.0,16.398
browser,browser,flight-arrow-1544,arrow,10.403,130.0,16.398
browser,browser,arrow-quiver-1544,quiver,120.0,600.0,119.763
browser,browser,arrow-quiver-1544,quiver,67.2,3.0,66.97
browser,browser,arrow-quiver-1544,quiver,131.884,12.0,131.942
browser,browser,arrow-quiver-1544,quiver,182.101,386.653,26.0
browser,browser,german-cranequin-crossbow-1544,crossbow,58.0,361.0,84.0
browser,browser,german-cranequin-crossbow-1544,crossbow,56.0,203.0,41.0
browser,browser,german-cranequin-crossbow-1544,crossbow,6.0,48.0,46.0
browser,browser,german-cranequin-crossbow-1544,crossbow,6.0,48.0,46.0
browser,browser,german-cranequin-crossbow-1544,crossbow,626.284,52.189,11.0
browser,browser,german-cranequin-crossbow-1544,crossbow,301.665,186.342,3.6
browser,browser,german-cranequin-crossbow-1544,crossbow,301.665,186.342,3.6
browser,browser,german-cranequin-crossbow-1544,crossbow,28.0,4.68,4.68
browser,browser,german-cranequin-crossbow-1544,crossbow,7.173,37.057,19.63
browser,browser,german-cranequin-crossbow-1544,crossbow,7.173,37.057,19.63
browser,browser,german-cranequin-crossbow-1544,crossbow,4.218,40.706,14.336
browser,browser,german-cranequin-crossbow-1544,crossbow,4.218,40.706,14.336
browser,browser,german-cranequin-crossbow-1544,crossbow,15.0,39.883,39.941
browser,browser,german-cranequin-crossbow-1544,crossbow,15.0,39.883,39.941
browser,browser,german-cranequin-crossbow-1544,crossbow,44.64,6.0,6.0
browser,browser,german-cranequin-crossbow-1544,crossbow,6.0,5.4,14.0
browser,browser,german-cranequin-crossbow-1544,crossbow,12.0,14.0,7.0
browser,browser,german-cranequin-crossbow-1544,crossbow,11.5,180.0,7.0
browser,browser,german-cranequin-crossbow-1544,crossbow,11.5,180.0,7.0
browser,browser,german-cranequin-crossbow-1544,crossbow,10.0,20.0,10.0
browser,browser,german-cranequin-crossbow-1544,crossbow,19.0,168.0,8.0
browser,browser,german-cranequin-crossbow-1544,crossbow,35.1,156.0,2.0
browser,browser,german-cranequin-crossbow-1544,crossbow,112.869,126.213,10.0
browser,browser,german-cranequin-crossbow-1544,crossbow,68.44,18.0,7.0
browser,browser,german-cranequin-crossbow-1544,crossbow,7.0,130.0,7.0
browser,browser,german-cranequin-crossbow-1544,crossbow,6.0,6.0,19.0
browser,browser,german-cranequin-crossbow-1544,crossbow,29.0,5.0,29.0
browser,browser,central-composite-arbalest,crossbow,58.0,416.0,84.0
browser,browser,central-composite-arbalest,crossbow,56.0,296.0,41.0
browser,browser,central-composite-arbalest,crossbow,6.0,48.0,46.0
browser,browser,central-composite-arbalest,crossbow,6.0,48.0,46.0
browser,browser,central-composite-arbalest,crossbow,725.888,92.599,16.0
browser,browser,central-composite-arbalest,crossbow,721.204,66.668,16.0
browser,browser,central-composite-arbalest,crossbow,720.937,65.186,16.0
browser,browser,central-composite-arbalest,crossbow,353.659,222.339,3.6
browser,browser,central-composite-arbalest,crossbow,353.659,222.339,3.6
browser,browser,central-composite-arbalest,crossbow,28.0,4.68,4.68
browser,browser,central-composite-arbalest,crossbow,15.109,45.031,22.4
browser,browser,central-composite-arbalest,crossbow,15.109,45.031,22.4
browser,browser,central-composite-arbalest,crossbow,6.0,57.593,20.889
browser,browser,central-composite-arbalest,crossbow,6.0,57.593,20.889
browser,browser,central-composite-arbalest,crossbow,15.0,39.883,39.941
browser,browser,central-composite-arbalest,crossbow,15.0,39.883,39.941
browser,browser,central-composite-arbalest,crossbow,44.64,6.0,6.0
browser,browser,central-composite-arbalest,crossbow,6.0,5.4,14.0
browser,browser,central-composite-arbalest,crossbow,12.0,14.0,7.0
browser,browser,central-composite-arbalest,crossbow,11.5,180.0,7.0
browser,browser,central-composite-arbalest,crossbow,11.5,180.0,7.0
browser,browser,central-composite-arbalest,crossbow,10.0,20.0,10.0
browser,browser,central-composite-arbalest,crossbow,19.0,168.0,8.0
browser,browser,central-composite-arbalest,crossbow,35.1,156.0,2.0
browser,browser,central-composite-arbalest,crossbow,112.869,126.213,10.0
browser,browser,central-composite-arbalest,crossbow,8.0,38.0,25.0
browser,browser,central-composite-arbalest,crossbow,8.0,38.0,25.0
browser,browser,central-composite-arbalest,crossbow,71.92,8.0,8.0
browser,browser,light-target-crossbow-comparative,crossbow,56.0,276.0,72.0
browser,browser,light-target-crossbow-comparative,crossbow,56.0,236.0,29.0
browser,browser,light-target-crossbow-comparative,crossbow,6.0,48.0,46.0
browser,browser,light-target-crossbow-comparative,crossbow,6.0,48.0,46.0
browser,browser,light-target-crossbow-comparative,crossbow,460.0,34.0,9.0
browser,browser,light-target-crossbow-comparative,crossbow,218.417,198.318,3.6
browser,browser,light-target-crossbow-comparative,crossbow,218.417,198.318,3.6
browser,browser,light-target-crossbow-comparative,crossbow,28.0,4.68,4.68
browser,browser,light-target-crossbow-comparative,crossbow,3.6,32.3,18.55
browser,browser,light-target-crossbow-comparative,crossbow,3.6,32.3,18.55
browser,browser,light-target-crossbow-comparative,crossbow,3.343,31.246,11.365
browser,browser,light-target-crossbow-comparative,crossbow,3.343,31.246,11.365
browser,browser,light-target-crossbow-comparative,crossbow,15.0,39.883,39.941
browser,browser,light-target-crossbow-comparative,crossbow,15.0,39.883,39.941
browser,browser,light-target-crossbow-comparative,crossbow,44.64,6.0,6.0
browser,browser,light-target-crossbow-comparative,crossbow,6.0,5.4,14.0
browser,browser,light-target-crossbow-comparative,crossbow,12.0,14.0,7.0
browser,browser,light-target-crossbow-comparative,crossbow,8.5,210.0,7.0
browser,browser,light-target-crossbow-comparative,crossbow,8.5,210.0,7.0
browser,browser,light-target-crossbow-comparative,crossbow,10.0,20.0,10.0
browser,browser,light-target-crossbow-comparative,crossbow,19.0,168.0,8.0
browser,browser,light-target-crossbow-comparative,crossbow,87.372,95.954,10.0
browser,browser,light-target-crossbow-comparative,crossbow,51.52,30.0,8.0
browser,browser,crossbow-bolt-1544,bolt,12.0,420.0,12.0
browser,browser,crossbow-bolt-1544,bolt,12.0,55.0,6.0
browser,browser,crossbow-bolt-1544,bolt,10.0,24.0,6.0
browser,browser,crossbow-bolt-1544,bolt,10.0,2.5,6.0
browser,browser,crossbow-bolt-1544,bolt,15.274,90.0,15.274
browser,browser,crossbow-bolt-1544,bolt,15.274,90.0,15.274
browser,browser,bolt-quiver-1544,bolt-quiver,290.0,446.0,1.8
browser,browser,bolt-quiver-1544,bolt-quiver,290.0,446.0,1.8
browser,browser,bolt-quiver-1544,bolt-quiver,51.8,446.0,70.0
browser,browser,bolt-quiver-1544,bolt-quiver,51.8,446.0,70.0
browser,browser,bolt-quiver-1544,bolt-quiver,290.0,1.8,70.0
browser,browser,bolt-quiver-1544,bolt-quiver,290.0,446.0,0.3
browser,browser,bolt-quiver-1544,bolt-quiver,290.0,446.0,0.4
browser,browser,bolt-quiver-1544,bolt-quiver,196.0,6.0,76.0
browser,browser,bolt-quiver-1544,bolt-quiver,161.42,269.745,30.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,52.0,467.0,90.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,63.905,58.24,63.905
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,21.67,86.36,21.67
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,23.7,167.64,23.7
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,21.67,4.0,21.67
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,23.7,12.0,23.7
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,21.67,65.96,21.67
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,23.7,128.04,23.7
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,21.67,4.0,21.67
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,23.7,12.0,23.7
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,4.0,145.0,70.8
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,8.0,48.0,48.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,20.0,6.0,6.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,5.0,78.6,23.77
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,28.0,28.0,2.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,2.0,28.0,8.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,2.0,28.0,8.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,28.0,2.0,8.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,28.0,2.0,8.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,28.0,28.0,3.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,18.234,1.872,3.299
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,6.0,21.531,40.821
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,5.0,16.0,5.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,5.0,16.0,5.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,4.0,9.0,6.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,8.0,48.0,48.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,20.0,6.0,6.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,5.0,78.6,23.77
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,28.0,28.0,2.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,2.0,28.0,8.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,2.0,28.0,8.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,28.0,2.0,8.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,28.0,2.0,8.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,28.0,28.0,3.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,18.234,1.872,3.299
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,6.0,21.806,62.068
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,5.0,16.0,5.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,5.0,16.0,5.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,4.0,9.0,6.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,10.0,6.0,6.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,5.0,35.0,10.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,6.0,50.017,27.323
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,4.0,56.323,22.974
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,7.0,80.699,30.915
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,8.0,199.0,8.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,42.44,3.0,72.051
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,42.44,3.0,72.051
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,6.0,12.0,6.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,2.0,34.0,64.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,2.0,34.0,64.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,2.0,10.0,10.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,2.0,10.0,10.0
browser,browser,peter-peck-double-wheellock-pistol-1545,firearm,2.0,10.0,10.0
browser,browser,german-matchlock-arquebus-16c,firearm,84.0,1558.0,130.0
browser,browser,german-matchlock-arquebus-16c,firearm,28.49,510.72,28.49
browser,browser,german-matchlock-arquebus-16c,firearm,29.9,705.28,29.9
browser,browser,german-matchlock-arquebus-16c,firearm,28.378,4.1,28.434
browser,browser,german-matchlock-arquebus-16c,firearm,29.9,12.0,29.9
browser,browser,german-matchlock-arquebus-16c,firearm,4.0,145.0,54.0
browser,browser,german-matchlock-arquebus-16c,firearm,34.0,28.0,2.0
browser,browser,german-matchlock-arquebus-16c,firearm,2.0,28.0,8.0
browser,browser,german-matchlock-arquebus-16c,firearm,2.0,28.0,8.0
browser,browser,german-matchlock-arquebus-16c,firearm,34.0,2.0,8.0
browser,browser,german-matchlock-arquebus-16c,firearm,34.0,2.0,8.0
browser,browser,german-matchlock-arquebus-16c,firearm,34.0,28.0,3.0
browser,browser,german-matchlock-arquebus-16c,firearm,18.992,2.832,5.627
browser,browser,german-matchlock-arquebus-16c,firearm,9.0,95.815,65.226
browser,browser,german-matchlock-arquebus-16c,firearm,5.0,18.0,5.0
browser,browser,german-matchlock-arquebus-16c,firearm,5.0,18.0,5.0
browser,browser,german-matchlock-arquebus-16c,firearm,4.4,28.0,4.4
browser,browser,german-matchlock-arquebus-16c,firearm,6.0,74.001,29.628
browser,browser,german-matchlock-arquebus-16c,firearm,15.526,43.93,19.747
browser,browser,german-matchlock-arquebus-16c,firearm,7.0,117.553,37.325
browser,browser,german-matchlock-arquebus-16c,firearm,10.0,1161.0,10.0
